                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2166,                0.62249,                 1.1876,                0.88059,                0.80314,                0.91198,                0.49107,                 1.6113,                0.73722,                 1.4547,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2225,                0.63982,                 1.1982,                0.85748,                0.78218,                0.87629,                0.47886,                  1.596,                 0.7239,                  1.451,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1839,                0.59267,                 1.1737,                0.91979,                0.73799,                0.88041,                0.47927,                 1.6129,                0.73911,                 1.4549,               0.000614,               0.000614,               0.000614
                     38,                  1.182,                0.58831,                 1.1699,                0.87888,                0.79208,                0.88339,                 0.4999,                 1.5984,                0.69686,                 1.4574,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.1865,                0.61497,                 1.1758,                0.80983,                0.82217,                0.89645,                0.49103,                 1.6214,                0.71384,                 1.4776,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1223,                0.57494,                  1.144,                0.86597,                0.76763,                 0.8802,                0.46922,                 1.6161,                0.72527,                 1.4865,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.1726,                0.57223,                 1.1778,                0.84865,                0.80198,                0.88276,                0.49783,                 1.6027,                0.68935,                   1.48,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.1253,                0.52829,                 1.1678,                 0.8261,                0.79958,                0.87933,                0.49338,                 1.6195,                 0.7119,                 1.4706,               0.000416,               0.000416,               0.000416
                     43,                 1.0881,                0.51245,                 1.1532,                0.87196,                0.77538,                0.88538,                0.49472,                 1.6266,                0.71157,                 1.4773,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0588,                0.51494,                 1.1374,                0.80741,                0.83016,                0.88193,                0.49123,                 1.6085,                 0.6896,                 1.5002,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0366,                0.49916,                 1.1367,                0.88822,                0.78677,                0.89032,                0.48982,                  1.628,                0.68813,                 1.5218,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0311,                0.50844,                  1.139,                0.86562,                0.79208,                0.88585,                0.48326,                 1.6539,                0.70489,                 1.5154,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0031,                0.48378,                 1.1066,                0.88915,                0.79417,                0.88606,                0.48669,                 1.6224,                0.71351,                 1.4887,               0.000218,               0.000218,               0.000218
                     48,                0.97729,                0.46801,                 1.0782,                0.83035,                0.79958,                0.87328,                0.48387,                 1.6371,                0.71786,                 1.4944,              0.0001784,              0.0001784,              0.0001784
                     49,                0.97708,                0.46641,                 1.0843,                0.84444,                0.80622,                0.88299,                0.48955,                 1.6035,                0.71495,                  1.484,              0.0001388,              0.0001388,              0.0001388
                     50,                0.95966,                0.46704,                 1.0889,                0.83847,                0.82229,                0.88837,                 0.4816,                 1.6294,                0.71409,                 1.5011,               9.92e-05,               9.92e-05,               9.92e-05
